question;answer;label
Osmanlı İmparatorluğu'nun kurucusu kimdir?;Osman Gazi (Osman Bey) olarak bilinir, 1299 yılında Söğüt ve Bilecik çevresinde beyliğini ilan etmiştir.;1
Osmanlı İmparatorluğu'nun kurucusu kimdir?;Orhan Gazi.;-1
Dünyanın en yüksek dağı hangisidir?;Everest Dağı'dır (Nepal/Çin sınırında, deniz seviyesinden 8.848,86 metre).;1
Dünyanın en yüksek dağı hangisidir?;K2.;-1
Üçün yarısı kaç eder?;( (3)/(1) × (1)/(2) = 1.5 ) veya ( (3)/(2) = 1.5 ).;1
Üçün yarısı kaç eder?;6.;-1
Rönesans döneminin en ünlü sanatçılarından biri kimdir?;Leonardo da Vinci (Mona Lisa ve Son Akşam Yemeği ile tanınır).;1
Rönesans döneminin en ünlü sanatçılarından biri kimdir?;Picasso.;-1
Hangi bilim insanı, yerçekimi kanununu keşfetti?;Isaac Newton.;1
Hangi bilim insanı, yerçekimi kanununu keşfetti?;Albert Einstein (Görelilik teorisiyle tanınır).;-1
Nobel Barış Ödülü'nü alan en genç kişi kimdir?;Malala Yousafzai (2014, eğitim aktivisti).;1
Nobel Barış Ödülü'nü alan en genç kişi kimdir?;Donald Trump.;-1
İlk genel amaçlı elektronik bilgisayarın adı nedir?;ENIAC.;1
İlk genel amaçlı elektronik bilgisayarın adı nedir?;iPhone.;-1
2'den büyük en küçük asal sayı kaçtır?;3.;1
2'den büyük en küçük asal sayı kaçtır?;0 veya 1 (Bunlar asal değildir).;-1
II. Dünya Savaşı ne zaman başladı?;1 Eylül 1939'da Almanya'nın Polonya'yı işgaliyle resmen başladı.;1
II. Dünya Savaşı ne zaman başladı?;1870'te Fransız-Prusya Savaşı sırasında.;-1
Yerçekimi kuvvetinin formülü F = G*(m₁*m₂)/r²'de r nedir?;Kütleler arasındaki uzaklığın karesi.;1
Yerçekimi kuvvetinin formülü F = G*(m₁*m₂)/r²'de r nedir?;12.;-1
"""Asal sayılar"" ne demektir?";(Asal sayılar yalnızca 1 ve kendisine bölünür).;1
"""Asal sayılar"" ne demektir?";Hepsi çift sayıdır.;-1
